,id,booklet,titlepage
327,76345_Unmatched,BOOKLETB,1
328,74748_Unmatched,BOOKLETB,1
329,71246,BOOKLETB,1
330,69433,BOOKLETB,1
331,73534,BOOKLETB,1
332,66412,BOOKLETB,1
333,6456,BOOKLETB,1
334,71558,BOOKLETB,1
335,75925,BOOKLETB,1
336,74768,BOOKLETB,1
337,61601,BOOKLETB,1
338,75406,BOOKLETB,1
339,708985,BOOKLETB,1
340,75589,BOOKLETB,1
341,8956,BOOKLETB,1
342,2704,BOOKLETA,1
343,8177,BOOKLETA,1
344,8159,BOOKLETA,1
345,1354,BOOKLETA,1
346,7540,BOOKLETA,1
347,8117,BOOKLETA,1
348,1662,BOOKLETA,1
349,0753,BOOKLETA,1
350,7844,BOOKLETA,1
351,8178,BOOKLETA,1
352,8956,BOOKLETB,1
353,2704,BOOKLETB,1
354,1345,BOOKLETB,1
355,8177,BOOKLETB,1
356,8159,BOOKLETB,1
357,9287,BOOKLETB,1
358,1235,BOOKLETB,1
359,7540,BOOKLETB,1
360,8117,BOOKLETB,1
361,7183,BOOKLETB,1
362,8337,BOOKLETB,1
363,1662,BOOKLETB,1
364,0753,BOOKLETB,1
365,7885,BOOKLETB,1
366,6754,BOOKLETB,1
367,2082,BOOKLETB,1
368,7844,BOOKLETB,1
369,8178,BOOKLETB,1
370,8743,BOOKLETB,1
371,8621,BOOKLETB,1
372,1033,BOOKLETA,1
373,1636,BOOKLETA,1
374,9441,BOOKLETA,1
375,0172,BOOKLETA,1
376,5224,BOOKLETA,1
377,1322,BOOKLETB,1
378,8900,BOOKLETA,1
379,5611,BOOKLETA,1
380,0782,BOOKLETA,1
381,8292,BOOKLETA,1
382,1103,BOOKLETA,1
383,7439,BOOKLETA,1
384,2420,BOOKLETA,1
385,1603,BOOKLETA,1
386,2257,BOOKLETA,1
387,7466,BOOKLETA,1
388,9107,BOOKLETA,1
389,1033,BOOKLETB,1
390,1636,BOOKLETB,1
391,9441,BOOKLETB,1
392,0172,BOOKLETB,1
393,5224,BOOKLETB,1
394,1322,BOOKLETB,1
395,8900,BOOKLETB,1
396,1925,BOOKLETB,1
397,5611,BOOKLETB,1
398,0782,BOOKLETB,1
399,8292,BOOKLETB,1
400,1103,BOOKLETB,1
401,7439,BOOKLETB,1
402,2420,BOOKLETB,1
403,7851,BOOKLETB,1
404,1603,BOOKLETB,1
405,2257,BOOKLETB,1
406,7466,BOOKLETB,1
407,9107,BOOKLETB,1
408,74943_Unmatched,BOOKLETA,1
409,76805_Unmatched,BOOKLETA,1
410,77250_Unmatched,BOOKLETA,1
411,76952_Unmatched,BOOKLETA,1
412,73113_Unmatched,BOOKLETA,1
413,68617_Unmatched,BOOKLETA,1
414,70449_Unmatched,BOOKLETA,1
415,68528_Unmatched,BOOKLETA,1
416,74317,BOOKLETB,1
417,74664,BOOKLETB,1
418,76895,BOOKLETB,1
419,73331,BOOKLETB,1
420,74311,BOOKLETB,1
421,72978,BOOKLETB,1
422,76049,BOOKLETB,1
423,75453,BOOKLETB,1
424,71024,BOOKLETA,1
425,66158,BOOKLETB,1
426,74221,BOOKLETB,1
427,71559,BOOKLETB,1
428,74915,BOOKLETB,1
429,66091,BOOKLETB,1
430,74052,BOOKLETA,1
431,77017,BOOKLETB,1
432,75830,BOOKLETA,1
433,74317,BOOKLETA,1
434,76895,BOOKLETA,1
435,73331,BOOKLETA,1
436,74311,BOOKLETA,1
437,72978,BOOKLETA,1
438,76049,BOOKLETA,1
439,71024,BOOKLETA,1
440,66158,BOOKLETA,1
441,74221,BOOKLETA,1
442,69886,BOOKLETA,1
443,71559,BOOKLETA,1
444,66091,BOOKLETA,1
445,74668,BOOKLETA,1
446,74052,BOOKLETA,1
447,77017,BOOKLETA,1
448,75830,BOOKLETA,1
449,73874,BOOKLETB,1
450,76472,BOOKLETB,1
451,76935,BOOKLETB,1
452,74844,BOOKLETB,1
453,76574,BOOKLETB,1
454,34179,BOOKLETB,1
455,75440,BOOKLETB,1
456,75133,BOOKLETB,1
457,74020,BOOKLETB,1
458,0312,BOOKLETB,3
459,9055,BOOKLETB,3
460,6799,BOOKLETB,3
461,0510,BOOKLETB,3
462,3423,BOOKLETB,3
463,k118,BOOKLETB,3
464,5383,BOOKLETB,3
465,1724,BOOKLETB,3
466,7801,BOOKLETB,3
467,6051,BOOKLETB,3
468,3676,BOOKLETB,3
469,1629,BOOKLETB,3
470,5088,BOOKLETB,3
471,3834,BOOKLETB,3
472,74909,BOOKLETB,3
473,73322,BOOKLETB,3
474,63183,BOOKLETB,3
475,62274,BOOKLETB,3
476,71208,BOOKLETB,3
477,74433,BOOKLETB,3
478,74592,BOOKLETB,3
479,62203-68203,BOOKLETB,3
480,75072,BOOKLETB,3
481,66083,BOOKLETB,3
482,72633,BOOKLETB,3
483,71510,BOOKLETB,3
484,70223,BOOKLETB,3
485,73874,BOOKLETA,3
486,76472,BOOKLETA,3
487,75435,BOOKLETA,3
488,74844,BOOKLETA,3
489,76574,BOOKLETB,3
490,34179,BOOKLETB,3
491,75440,BOOKLETB,3
492,079811,BOOKLETB,3
493,71369,BOOKLETB,3
494,75689,BOOKLETB,3
495,78555,BOOKLETB,3
496,78780,BOOKLETB,3
497,75273,BOOKLETB,3
498,080111,BOOKLETB,3
499,64533,BOOKLETB,3
500,71277,BOOKLETB,3
501,67081,BOOKLETA,3
502,54313,BOOKLETA,3
503,16460,BOOKLETA,3
504,49588,BOOKLETA,3
505,78295,BOOKLETA,3
506,78726,BOOKLETA,3
507,14011,BOOKLETA,3
508,77207,BOOKLETA,3
509,77978,BOOKLETA,3
510,74872,BOOKLETA,3
511,75760,BOOKLETA,3
512,78483,BOOKLETA,3
513,78864,BOOKLETA,3
514,66985,BOOKLETA,3
515,61995,BOOKLETA,3
516,78031,BOOKLETA,3
517,75589,BOOKLETB,3
518,80296,BOOKLETB,3
519,79960,BOOKLETB,3
520,64504,BOOKLETB,3
521,76560,BOOKLETB,3
522,72714,BOOKLETB,3
523,77056,BOOKLETB,3
524,79248,BOOKLETB,3
525,78632,BOOKLETB,3
526,59214,BOOKLETB,3
527,78556,BOOKLETB,3
528,77895,BOOKLETB,3
529,78754,BOOKLETB,3
530,72587,BOOKLETB,3
531,78297,BOOKLETB,3
532,78269,BOOKLETB,3
533,74480,BOOKLETB,3
534,78044,BOOKLETB,3
535,78285,BOOKLETB,3
536,62407,BOOKLETB,3
537,74411,BOOKLETB,3
538,74171,BOOKLETB,3
539,76767,BOOKLETB,3
540,71234,BOOKLETB,3
541,74432,BOOKLETB,3
542,71749,BOOKLETB,3
543,76346,BOOKLETB,3
544,76948,BOOKLETB,3
545,76440,BOOKLETB,3
546,66530,BOOKLETB,3
547,75615,BOOKLETB,3
548,76888,BOOKLETB,3
549,75788,BOOKLETB,3
550,75037,BOOKLETA,3
551,65960,BOOKLETA,3
552,75900,BOOKLETA,3
553,75497,BOOKLETA,3
554,71584,BOOKLETA,3
555,71565,BOOKLETA,3
556,75575-Score Sheet-NO ID,BOOKLETA,3
557,75098,BOOKLETA,3
558,70686,BOOKLETA,3
559,72632,BOOKLETA,3
560,67200,BOOKLETA,3
561,75197,BOOKLETA,3
562,79631,BOOKLETA,3
563,76063,BOOKLETA,3
564,77814,BOOKLETA,3
565,78607,BOOKLETA,3
566,78388,BOOKLETA,3
567,78213,BOOKLETA,3
568,77650,BOOKLETA,3
569,77532,BOOKLETA,3
570,75262,BOOKLETA,3
571,52578,BOOKLETA,3
572,76418,BOOKLETA,3
573,79099,BOOKLETA,3
574,78281,BOOKLETB,3
575,78250,BOOKLETA,3
576,71246,BOOKLETA,3
577,72558,BOOKLETA,3
578,69812,BOOKLETA,3
579,71495,BOOKLETA,3
580,71581,BOOKLETA,3
