path,zlist_least_dist,zlist_most_dist,zlist_mean_dist,zlist_3least_dist,id,contrast_factor,crop_bottom,test,task,activity
../../data/outputs/bookleta/activity2b/fd6d5-RD-AM-4811.jpg,0.7012474,0.7802943,0.7398782,0.71434164,fd6d5-RD-AM-4811,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-77499.jpg,0.7056174,0.7828773,0.7405175,0.7099349,6771d-77499,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/781e5-74910.jpg,0.70454097,0.75383854,0.7218558,0.7056866,781e5-74910,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9cf64-52578.jpg,0.6689559,0.7794989,0.73826396,0.70134574,9cf64-52578,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dee97-69433 M.jpg,0.7098285,0.80533904,0.75601953,0.7236622,dee97-69433 M,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-74433.jpg,0.6758022,0.7676338,0.73447955,0.7082157,6771d-74433,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/21ac7-75119.jpg,0.68884254,0.78133667,0.73602223,0.6966229,21ac7-75119,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-1662.jpg,0.6608372,0.76802063,0.72643363,0.68606216,6dcd4-1662,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/65a68-73677.jpg,0.6901709,0.79398537,0.7463025,0.7039121,65a68-73677,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/20479-70510.jpg,0.6887288,0.7562092,0.7258065,0.697841,20479-70510,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/fd6d5-RD-AR-4811.jpg,0.69338363,0.7709807,0.73895633,0.715538,fd6d5-RD-AR-4811,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-73294.jpg,0.6853807,0.7737305,0.72342944,0.69355446,dbfa7-73294,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9cf64-75262.jpg,0.7023401,0.78622425,0.7418295,0.7052148,9cf64-75262,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/781e5-78096.jpg,0.7057551,0.7637768,0.7263056,0.70884895,781e5-78096,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-78383.jpg,0.68137515,0.7470432,0.7102062,0.68231064,6771d-78383,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/21ac7-75911.jpg,0.6970106,0.7999632,0.73981076,0.7033801,21ac7-75911,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-8900.jpg,0.70156145,0.77571225,0.7395295,0.7176003,6dcd4-8900,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/781e5-77429.jpg,0.6672574,0.782224,0.7249717,0.6861693,781e5-77429,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-73129.jpg,0.6629552,0.7758811,0.73509276,0.69269323,9508e-73129,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ea193-76893.jpg,0.66320187,0.7501137,0.7127302,0.67429906,ea193-76893,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b560a-76952_Unmatched.jpg,0.69901013,0.7837596,0.7504316,0.7246118,b560a-76952_Unmatched,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-74144.jpg,0.6861316,0.7938336,0.7354897,0.7009115,6544f-74144,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/3d919-66985.jpg,0.70234704,0.78625906,0.7568236,0.72268414,3d919-66985,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-71614.jpg,0.6834099,0.76043,0.72661865,0.69286007,6771d-71614,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/a718a-73697.jpg,0.681529,0.76938814,0.7214309,0.6876604,a718a-73697,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/326d8-76726.jpg,0.683154,0.7589965,0.73238987,0.7055704,326d8-76726,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d5183-71277.jpg,0.6770704,0.76202285,0.7227451,0.6864221,d5183-71277,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d5183-76524.jpg,0.70002735,0.7671461,0.735469,0.7128195,d5183-76524,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-70668.jpg,0.66866344,0.767763,0.71843284,0.6863838,6771d-70668,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/bcb6d-66158.jpg,0.71501416,0.772936,0.74145335,0.72169,bcb6d-66158,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b238c-77060.jpg,0.6667037,0.783815,0.7389275,0.69657475,b238c-77060,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/406e2-70547.jpg,0.68238014,0.79887295,0.741759,0.69998217,406e2-70547,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b560a-77250_Unmatched.jpg,0.66354287,0.74463075,0.72548157,0.69673747,b560a-77250_Unmatched,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/060f1-70647.jpg,0.735665,0.7909192,0.76321346,0.7425701,060f1-70647,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-0782.jpg,0.662313,0.77548325,0.7398076,0.69905454,6dcd4-0782,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-5611.jpg,0.7230009,0.82418907,0.78014404,0.74002415,6dcd4-5611,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dee97-64546.jpg,0.6868306,0.75383395,0.7281366,0.7072728,dee97-64546,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ea193-75426.jpg,0.6803143,0.77506936,0.7401079,0.7050187,ea193-75426,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/4f5cb-71595.jpg,0.6871375,0.7732153,0.72730505,0.70308787,4f5cb-71595,4,False,ttct,bookleta,activity2b
